input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(24.64),exhaust_ws_(34.28),case_agr_(21.23),case_mt_(45.34),merge_cond_(36.72),case_(51.44),LB_DP_(78.64),LB_V_(28.97),LB_v_(0.00),LB_DP2_(0.00),LB_T_(20.67),LB_C_(0.00)
acc_[DP case_agr],0,1.0213547894391443e-09,1.0213547894391443e-09,-45.33972818212648,-45.33972818212648,mtAgree,[DP],0,0,0,1,0,0,0,0,0,0.0,0,0
acc_[DP case_agr],1,0.9999348585276142,0.9999348585276142,-24.63765745970032,-24.63765745970032,xMerge,[.. [V] [DP case_agr]],1,0,0,0,0,0,0,0,0,0.0,0,0
acc_[DP case_agr],0,1.123702450463856e-16,1.123702450463856e-16,-61.3623248113715,-61.3623248113715,xMerge,[.. [v case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[DP case_agr],0,1.123702450463856e-16,1.123702450463856e-16,-61.3623248113715,-61.3623248113715,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[DP case_agr],0,1.123702450463856e-16,1.123702450463856e-16,-61.3623248113715,-61.3623248113715,xMerge,[.. [T case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[DP case_agr],0,1.123702450463856e-16,1.123702450463856e-16,-61.3623248113715,-61.3623248113715,xMerge,[.. [C] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[DP case_agr],0,6.514045103036515e-05,6.514045103036515e-05,-34.276557150230865,-34.276557150230865,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0.0,0,0
acc_[.. [V] [DP case_agr]],1,0.999779417159204,0.999779417159204,-50.19818908002883,-50.19818908002883,Label,[V [V] [DP case_agr]],0,0,1,0,0,0,0,1,0,0.0,0,0
acc_[.. [V] [DP case_agr]],0,4.4607941134315986e-13,4.4607941134315986e-13,-78.6362478792572,-78.6362478792572,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,1,0,0,0.0,0,0
acc_[.. [V] [DP case_agr]],0,1.4170384943852954e-05,1.4170384943852954e-05,-61.3623248113715,-61.3623248113715,xMerge,[.. [v case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[.. [V] [DP case_agr]],0,1.4170384943852954e-05,1.4170384943852954e-05,-61.3623248113715,-61.3623248113715,xMerge,[.. [DP2 case_agr] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[.. [V] [DP case_agr]],0,1.4170384943852954e-05,1.4170384943852954e-05,-61.3623248113715,-61.3623248113715,xMerge,[.. [T case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0
acc_[.. [V] [DP case_agr]],0,1.4170384943852954e-05,1.4170384943852954e-05,-61.3623248113715,-61.3623248113715,xMerge,[.. [C] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0
