input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(45.87),exhaust_ws_(54.19),case_agr_(30.62),case_mt_(59.20),merge_cond_(62.43),case_(72.84),LB_DP_(100.00),LB_V_(61.96),LB_v_(25.67),LB_DP2_(10.82),LB_T_(45.35),LB_C_(0.00),foc_(20.01),wh_(6.78)
acc_[DP case_agr],0,1.617999557271569e-06,1.617999557271569e-06,-59.20299651241529,-59.20299651241529,mtAgree,[DP],0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],1,0.9997549056430554,0.9997549056430554,-45.86892162385779,-45.86892162385779,xMerge,[.. [V] [DP case_agr]],1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],0,7.7362802380545755e-28,7.7362802380545755e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [v case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],0,7.7362802380545755e-28,7.7362802380545755e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],0,7.7362802380545755e-28,7.7362802380545755e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],0,7.7362802380545755e-28,7.7362802380545755e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP case_agr],0,0.00024347635738735418,0.00024347635738735418,-54.18916721453442,-54.18916721453442,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],1,0.9988384084204117,0.9988384084204117,-92.57815978627681,-92.57815978627681,Label,[V [V] [DP case_agr]],0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,0.0005973529098350548,0.0005973529098350548,-100.0,-100.0,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,1.4917576414409317e-07,1.4917576414409317e-07,-108.29513812061069,-108.29513812061069,xMerge,[.. [v case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,1.4917576414409317e-07,1.4917576414409317e-07,-108.29513812061069,-108.29513812061069,xMerge,[.. [DP2 case_agr] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,1.4917576414409317e-07,1.4917576414409317e-07,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,1.4917576414409317e-07,1.4917576414409317e-07,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,4.361561202332018e-31,4.361561202332018e-31,-162.4843053351451,-162.4843053351451,iMerge,[.. [V] [.. [V] [DP case_agr]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,4.361561202332018e-31,4.361561202332018e-31,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP case_agr] [.. [V] [DP case_agr]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,0.0005636419666966952,0.0005636419666966952,-100.05808883839221,-100.05808883839221,rMerge,[.. [V] [DP case_agr]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[V [V] [DP case_agr]],1,0.9997565231905317,0.9997565231905317,-76.49033341779,-76.49033341779,xMerge,[.. [v case] [V [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[V [V] [DP case_agr]],0,7.7362927549230745e-28,7.7362927549230745e-28,-138.91654991454288,-138.91654991454288,xMerge,[.. [DP2 case_agr] [V [V] [DP case_agr]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[V [V] [DP case_agr]],0,7.7362927549230745e-28,7.7362927549230745e-28,-138.91654991454288,-138.91654991454288,xMerge,[.. [T case] [V [V] [DP case_agr]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
