input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(34.37),exhaust_ws_(45.57),case_agr_(26.71),case_mt_(44.24),merge_cond_(56.59),case_(64.68),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_DP2_(0.00),LB_T_(31.40),LB_C_(17.35),cl_mt_(23.79),cl_(5.27),cl_agr_(22.05),wh_(5.27),wh_agr_(14.33),wh_mt_(36.69)
acc_[DP case_agr],0,5.214875427538791e-05,5.214875427538791e-05,-44.235923629855684,-44.235923629855684,mtAgree,[DP],0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],1,0.9999341386988777,0.9999341386988777,-34.374579229186196,-34.374579229186196,xMerge,[.. [V] [DP case_agr]],1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,[.. [v case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,[.. [T case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,[.. [C] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,1.3712546846953831e-05,1.3712546846953831e-05,-45.57171268171633,-45.57171268171633,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],1,0.9999999888600949,0.9999999888600949,-61.63349390748198,-61.63349390748198,Label,[V [V] [DP case_agr]],0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,2.9447548481760115e-18,2.175895877077056e-17,-102.0,-100.0,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,1.8344474677906365e-13,1.8344474677906365e-13,-90.96035677657113,-90.96035677657113,xMerge,[.. [v case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
