input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(32.18),exhaust_ws_(42.85),case_agr_(26.24),case_mt_(41.64),merge_cond_(46.89),case_(46.22),LB_DP_(77.43),LB_V_(33.39),LB_v_(0.00),LB_DP2_(0.00),LB_T_(11.35),LB_C_(0.00),cl_mt_(17.04),cl_(3.75),cl_agr_(10.89),wh_(3.75)
acc_[DP case_agr],0,7.771522534583666e-05,7.771522534583666e-05,-41.64062371026213,-41.64062371026213,mtAgree,[DP],0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],1,0.9998990696525522,0.9998990696525522,-32.178265276313816,-32.178265276313816,xMerge,[.. [V] [DP case_agr]],1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,4.310909605139349e-21,4.310909605139349e-21,-79.07130236662283,-79.07130236662283,xMerge,[.. [v case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,4.310909605139349e-21,4.310909605139349e-21,-79.07130236662283,-79.07130236662283,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,4.310909605139349e-21,4.310909605139349e-21,-79.07130236662283,-79.07130236662283,xMerge,[.. [T case] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,4.310909605139349e-21,4.310909605139349e-21,-79.07130236662283,-79.07130236662283,xMerge,[.. [C] [DP case_agr]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[DP case_agr],0,2.321512210206189e-05,2.321512210206189e-05,-42.848871017759485,-42.848871017759485,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],1,0.9999997793564424,0.9999997615399485,-59.629232452818044,-59.629232452818044,Label,[V [V] [DP case_agr]],0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,7.571008320515555e-10,1.8573598693644967e-08,-80.63075690399613,-77.43075690399613,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,3.600942808764689e-09,3.600942744608499e-09,-79.07130236662283,-79.07130236662283,xMerge,[.. [v case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,3.600942808764689e-09,3.600942744608499e-09,-79.07130236662283,-79.07130236662283,xMerge,[.. [DP2 case_agr] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,3.600942808764689e-09,3.600942744608499e-09,-79.07130236662283,-79.07130236662283,xMerge,[.. [T case] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,3.600942808764689e-09,3.600942744608499e-09,-79.07130236662283,-79.07130236662283,xMerge,[.. [C] [.. [V] [DP case_agr]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,8.859066976025312e-28,8.859066818187765e-28,-121.92017338438232,-121.92017338438232,iMerge,[.. [V] [.. [V] [DP case_agr]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,8.859066976025312e-28,8.859066818187765e-28,-121.92017338438232,-121.92017338438232,iMerge,[.. [DP case_agr] [.. [V] [DP case_agr]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [V] [DP case_agr]],0,2.0548268552782798e-07,2.0548268186684618e-07,-75.0271362940733,-75.0271362940733,rMerge,[.. [V] [DP case_agr]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],1,0.9999767217510631,0.9999767217510631,-58.42006420106623,-58.42006420106623,xMerge,[.. [v case] [V [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],0,4.311244390106582e-21,4.311244390106582e-21,-105.31310129137526,-105.31310129137526,xMerge,[.. [DP2 case_agr] [V [V] [DP case_agr]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],0,4.311244390106582e-21,4.311244390106582e-21,-105.31310129137526,-105.31310129137526,xMerge,[.. [T case] [V [V] [DP case_agr]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],0,4.311244390106582e-21,4.311244390106582e-21,-105.31310129137526,-105.31310129137526,xMerge,[.. [C] [V [V] [DP case_agr]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],0,6.132394983522575e-08,6.132394983522575e-08,-75.0271362940733,-75.0271362940733,iMerge,[.. [DP case_agr] [V [V] [DP case_agr]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[V [V] [DP case_agr]],0,2.3216924986975943e-05,2.3216924986975943e-05,-69.09066994251191,-69.09066994251191,rMerge,[V [V] [DP case_agr]],0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],1,1.0,1.0,-52.48359784950483,-52.48359784950483,Label,[v case [v case] [V [V] [DP case_agr]]],0,0,2,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,6.665337340868138e-24,6.665337340868138e-24,-105.84871951522842,-105.84871951522842,Label,[V [v case] [V [V] [DP case_agr]]],0,0,1,0,0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,1.1387756533663734e-23,1.1387756533663734e-23,-105.31310129137526,-105.31310129137526,xMerge,[.. [DP2 case_agr] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,1.1387756533663734e-23,1.1387756533663734e-23,-105.31310129137526,-105.31310129137526,xMerge,[.. [T case] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,1.1387756533663734e-23,1.1387756533663734e-23,-105.31310129137526,-105.31310129137526,xMerge,[.. [C] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,2.801624552126866e-42,2.801624552126866e-42,-148.16197230913474,-148.16197230913474,iMerge,[.. [v case] [.. [v case] [V [V] [DP case_agr]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,2.801624552126866e-42,2.801624552126866e-42,-148.16197230913474,-148.16197230913474,iMerge,[.. [V [V] [DP case_agr]] [.. [v case] [V [V] [DP case_agr]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
