input,winner,probability,harmony,operation,output,merge_cond_(59.09),case_(47.04),label_cons_(44.71),exhaust_ws_(54.45),foc_(17.29),case_mt_(57.30),case_agr_(30.95),LB_DP_(100.00),LB_V_(60.70),LB_v_(23.60),LB_DP2_(5.76),LB_T_(26.63),LB_C_(0.00),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),wh_(0.00),cl_(0.00),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00)
phrasal_[DP case_agr],0,3.3867364051284326e-06,-57.302510944062774,mtAgree,[DP],0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],1,0.9999380929438877,-44.70692904040663,xMerge,[.. [V] [DP case_agr]],0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],0,2.1725285755218803e-26,-103.79818781791877,xMerge,"[.. [v case,foc] [DP case_agr]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],0,2.1725285755218803e-26,-103.79818781791877,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],0,2.1725285755218803e-26,-103.79818781791877,xMerge,[.. [T case] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],0,2.1725285755218803e-26,-103.79818781791877,xMerge,[.. [C] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[DP case_agr],0,5.852031970720499e-05,-54.45300365004881,rMerge,[DP case_agr],0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],1,0.9991904782628382,-91.65615492614296,Label,[V [V] [DP case_agr]],0,0,0,0,0,0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,0.0002376634588500323,-100.0,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,5.3263586074974165e-06,-103.79818781791877,xMerge,"[.. [v case,foc] [.. [V] [DP case_agr]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,5.3263586074974165e-06,-103.79818781791877,xMerge,[.. [DP2 case_agr] [.. [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,5.3263586074974165e-06,-103.79818781791877,xMerge,[.. [T case] [.. [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,5.3263586074974165e-06,-103.79818781791877,xMerge,[.. [C] [.. [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,1.1961658367737086e-29,-158.25119146796757,iMerge,[.. [V] [.. [V] [DP case_agr]]],1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,1.1961658367737086e-29,-158.25119146796757,iMerge,[.. [DP case_agr] [.. [V] [DP case_agr]]],1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[.. [V] [DP case_agr]],0,0.0005505528438818351,-99.15993269045543,rMerge,[.. [V] [DP case_agr]],0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],1,0.9999414794197435,-75.6618838010815,xMerge,"[.. [v case,foc] [V [V] [DP case_agr]]]",0,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],0,2.1725359331929544e-26,-134.75314257859364,xMerge,[.. [DP2 case_agr] [V [V] [DP case_agr]]],1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],0,2.1725359331929544e-26,-134.75314257859364,xMerge,[.. [T case] [V [V] [DP case_agr]]],1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],0,2.1725359331929544e-26,-134.75314257859364,xMerge,[.. [C] [V [V] [DP case_agr]]],1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],0,6.23593552054476e-11,-99.15993269045543,iMerge,[.. [DP case_agr] [V [V] [DP case_agr]]],0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phrasal_[V [V] [DP case_agr]],0,5.8520517897124934e-05,-85.40795841072367,rMerge,[V [V] [DP case_agr]],0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
