input,winner,probability,harmony,operation,output,merge_cond_(58.05),exhaust_ws_(55.79),label_cons_(40.73),case_agr_(34.80),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(73.57),wh_(0.00),foc_(0.00),cl_(0.00),case_mt_(86.51),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(47.53),LB_v_(0.00),LB_DP2_(3.00),LB_T_(14.10),LB_C_(0.00)
accusative_[DP case_agr],0,1.3140154954108165e-20,-86.50916180205752,mtAgree,[DP],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],1,0.999999711111309,-40.730547943608315,xMerge,[.. [V] [DP case_agr]],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],0,6.147786666316204e-26,-98.78166794717879,xMerge,[.. [v case] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],0,6.147786666316204e-26,-98.78166794717879,xMerge,[.. [DP2 case_agr] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],0,6.147786666316204e-26,-98.78166794717879,xMerge,[.. [T case] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],0,6.147786666316204e-26,-98.78166794717879,xMerge,[.. [C] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP case_agr],0,2.8888869094802855e-07,-55.787772030172775,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [V] [DP case_agr]],1,0.9999983167636007,-82.32876373625086,Label,[V [V] [DP case_agr]],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0
accusative_[.. [V] [DP case_agr]],0,2.115820746356191e-08,-100.0,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0
accusative_[.. [V] [DP case_agr]],0,7.154738394930679e-08,-98.78166794717879,xMerge,[.. [v case] [.. [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [V] [DP case_agr]],0,7.154738394930679e-08,-98.78166794717879,xMerge,[.. [DP2 case_agr] [.. [V] [DP case_agr]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
