input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,merge_cond_(27.54),exhaust_ws_(47.81),label_cons_(34.17),case_agr_(27.94),wh_agr_(11.27),foc_agr_(0.00),cl_agr_(17.34),case_(59.53),wh_(5.40),foc_(0.00),cl_(5.40),case_mt_(43.90),wh_mt_(34.87),foc_mt_(0.00),cl_mt_(24.45),LB_DP_(100.00),LB_V_(35.79),LB_v_(0.34),LB_T_(23.44),LB_C_(13.68),LB_DP2_(0.00)
unaccusative_[DP case_agr],0,8.037136434344555e-06,5.938380264675695e-05,-45.897396249527816,-43.897396249527816,mtAgree,[DP],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
unaccusative_[DP case_agr],1,0.9999907782229855,0.9999394316176009,-34.16596776824966,-34.16596776824966,xMerge,[.. [V] [DP case_agr]],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[DP case_agr],0,1.0968157114907893e-12,1.0967593932079171e-12,-61.70456848834958,-61.70456848834958,xMerge,[.. [v] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[DP case_agr],0,1.0968157114907893e-12,1.0967593932079171e-12,-61.70456848834958,-61.70456848834958,xMerge,[.. [T case] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[DP case_agr],0,1.0968157114907893e-12,1.0967593932079171e-12,-61.70456848834958,-61.70456848834958,xMerge,[.. [C] [DP case_agr]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[DP case_agr],0,1.18463728979829e-06,1.1845764621339077e-06,-47.81203246121915,-47.81203246121915,rMerge,[DP case_agr],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [V] [DP case_agr]],1,0.9999999880985305,0.9999999880985305,-63.7293000203053,-63.7293000203053,Label,[V [V] [DP case_agr]],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
unaccusative_[.. [V] [DP case_agr]],0,1.7694371405229536e-16,1.7694371405229536e-16,-100.0,-100.0,Label,[DP case_agr [V] [DP case_agr]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
unaccusative_[.. [V] [DP case_agr]],0,8.307443464633167e-12,8.307443464633167e-12,-89.2431692084495,-89.2431692084495,xMerge,[.. [v] [.. [V] [DP case_agr]]],2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [V] [DP case_agr]],0,8.307443464633167e-12,8.307443464633167e-12,-89.2431692084495,-89.2431692084495,xMerge,[.. [T case] [.. [V] [DP case_agr]]],2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
