input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,merge_cond_(56.59),exhaust_ws_(45.57),label_cons_(34.38),case_agr_(26.71),wh_agr_(14.33),foc_agr_(0.00),cl_agr_(22.05),case_(64.68),wh_(5.27),foc_(0.00),cl_(5.27),case_mt_(44.24),wh_mt_(36.69),foc_mt_(0.00),cl_mt_(23.79),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_T_(31.41),LB_C_(17.35),LB_DP2_(0.00)
"wolofMatrix_[DP case_agr,wh,cl]",0,7.057123642617044e-06,5.214313144416505e-05,-46.23655971837483,-44.23655971837483,mtAgree,"[DP wh,cl]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",1,0.9999792227081621,0.9999341373189524,-34.37510749034701,-34.37510749034701,xMerge,"[.. [V] [DP case_agr,wh,cl]]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6585569054132886e-25,2.658437040850011e-25,-90.96193057887425,-90.96193057887425,xMerge,"[.. [v case] [DP case_agr,wh,cl]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6585569054132886e-25,2.658437040850011e-25,-90.96193057887425,-90.96193057887425,xMerge,"[.. [T case] [DP case_agr,wh,cl]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6585569054132886e-25,2.658437040850011e-25,-90.96193057887425,-90.96193057887425,xMerge,"[.. [C wh_agr,cl_agr] [DP case_agr,wh,cl]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6585569054132886e-25,2.658437040850011e-25,-90.96193057887425,-90.96193057887425,xMerge,"[.. [DP2 case_agr] [DP case_agr,wh,cl]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,1.3720168195393105e-05,1.3719549603417327e-05,-45.57173038944156,-45.57173038944156,rMerge,"[DP case_agr,wh,cl]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",1,0.9776252753862287,0.9995809890836399,-76.16957758763041,-72.16957758763041,Label,"[V [V] [DP case_agr,wh,cl]]",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,4.3727179583042094e-11,8.188778142842155e-13,-100.0,-100.0,Label,"[DP case_agr,wh,cl [V] [DP case_agr,wh,cl]]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68074001627262e-07,6.892912756355008e-09,-90.96193057887425,-90.96193057887425,xMerge,"[.. [v case] [.. [V] [DP case_agr,wh,cl]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68074001627262e-07,6.892912756355008e-09,-90.96193057887425,-90.96193057887425,xMerge,"[.. [T case] [.. [V] [DP case_agr,wh,cl]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68074001627262e-07,6.892912756355008e-09,-90.96193057887425,-90.96193057887425,xMerge,"[.. [C wh_agr,cl_agr] [.. [V] [DP case_agr,wh,cl]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68074001627262e-07,6.892912756355008e-09,-90.96193057887425,-90.96193057887425,xMerge,"[.. [DP2 case_agr] [.. [V] [DP case_agr,wh,cl]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,5.948180020041822e-27,1.1139142062731742e-28,-136.53366096831581,-136.53366096831581,iMerge,"[.. [V] [.. [V] [DP case_agr,wh,cl]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,5.948180020041822e-27,1.1139142062731742e-28,-136.53366096831581,-136.53366096831581,iMerge,"[.. [DP case_agr,wh,cl] [.. [V] [DP case_agr,wh,cl]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,0.022373252274037823,0.00041898334389027297,-79.94683787978857,-79.94683787978857,rMerge,"[.. [V] [DP case_agr,wh,cl]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",1,0.986995496899342,0.9997452716661567,-75.61642621648656,-71.61642621648656,xMerge,"[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.6240382143013196e-25,2.6579349203318524e-25,-132.2032493050138,-128.2032493050138,xMerge,"[.. [T case] [V [V] [DP case_agr,wh,cl]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.6240382143013196e-25,2.6579349203318524e-25,-132.2032493050138,-128.2032493050138,xMerge,"[.. [C wh_agr,cl_agr] [V [V] [DP case_agr,wh,cl]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.6240382143013196e-25,2.6579349203318524e-25,-132.2032493050138,-128.2032493050138,xMerge,"[.. [DP2 case_agr] [V [V] [DP case_agr,wh,cl]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,0.01299096107506588,0.00024101137556220936,-79.94683787978857,-79.94683787978857,iMerge,"[.. [DP case_agr,wh,cl] [V [V] [DP case_agr,wh,cl]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,1.3542025592172372e-05,1.3716958281053978e-05,-86.81304911558111,-82.81304911558111,rMerge,"[V [V] [DP case_agr,wh,cl]]",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",1,0.9999999999999999,1.0,-83.89452549017537,-75.89452549017537,Label,"[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0.0
